Stn Code,Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
219,01-01-2013,Rajasthan,Alwar,"RIICO Pump House,  MIA, Alwar",Rajasthan State Pollution Control Board,Industrial Area,12,25,206,NA
219,01-04-2013,Rajasthan,Alwar,"RIICO Pump House,  MIA, Alwar",Rajasthan State Pollution Control Board,Industrial Area,12,23,217,NA
219,01-08-2013,Rajasthan,Alwar,"RIICO Pump House,  MIA, Alwar",Rajasthan State Pollution Control Board,Industrial Area,11,21,326,NA
219,01-11-2013,Rajasthan,Alwar,"RIICO Pump House,  MIA, Alwar",Rajasthan State Pollution Control Board,Industrial Area,11,24,203,NA
219,15-01-2013,Rajasthan,Alwar,"RIICO Pump House,  MIA, Alwar",Rajasthan State Pollution Control Board,Industrial Area,11,22,220,NA
219,18-01-2013,Rajasthan,Alwar,"RIICO Pump House,  MIA, Alwar",Rajasthan State Pollution Control Board,Industrial Area,10,23,190,NA
219,22-01-2013,Rajasthan,Alwar,"RIICO Pump House,  MIA, Alwar",Rajasthan State Pollution Control Board,Industrial Area,10,22,179,NA
219,25-01-2013,Rajasthan,Alwar,"RIICO Pump House,  MIA, Alwar",Rajasthan State Pollution Control Board,Industrial Area,11,24,157,NA
219,29-01-2013,Rajasthan,Alwar,"RIICO Pump House,  MIA, Alwar",Rajasthan State Pollution Control Board,Industrial Area,12,24,153,NA
219,02-01-2013,Rajasthan,Alwar,"RIICO Pump House,  MIA, Alwar",Rajasthan State Pollution Control Board,Industrial Area,11,23,357,NA
219,02-05-2013,Rajasthan,Alwar,"RIICO Pump House,  MIA, Alwar",Rajasthan State Pollution Control Board,Industrial Area,10,23,178,NA
219,02-08-2013,Rajasthan,Alwar,"RIICO Pump House,  MIA, Alwar",Rajasthan State Pollution Control Board,Industrial Area,11,23,284,NA
219,02-12-2013,Rajasthan,Alwar,"RIICO Pump House,  MIA, Alwar",Rajasthan State Pollution Control Board,Industrial Area,13,23,164,NA
219,15-02-2013,Rajasthan,Alwar,"RIICO Pump House,  MIA, Alwar",Rajasthan State Pollution Control Board,Industrial Area,10,21,293,NA
219,19-02-2013,Rajasthan,Alwar,"RIICO Pump House,  MIA, Alwar",Rajasthan State Pollution Control Board,Industrial Area,10,22,193,NA
219,22-02-2013,Rajasthan,Alwar,"RIICO Pump House,  MIA, Alwar",Rajasthan State Pollution Control Board,Industrial Area,11,21,170,NA
219,26-02-2013,Rajasthan,Alwar,"RIICO Pump House,  MIA, Alwar",Rajasthan State Pollution Control Board,Industrial Area,8,21,83,NA
219,03-01-2013,Rajasthan,Alwar,"RIICO Pump House,  MIA, Alwar",Rajasthan State Pollution Control Board,Industrial Area,10,22,158,NA
219,03-05-2013,Rajasthan,Alwar,"RIICO Pump House,  MIA, Alwar",Rajasthan State Pollution Control Board,Industrial Area,9,16,187,NA
219,03-08-2013,Rajasthan,Alwar,"RIICO Pump House,  MIA, Alwar",Rajasthan State Pollution Control Board,Industrial Area,12,21,128,NA
219,03-12-2013,Rajasthan,Alwar,"RIICO Pump House,  MIA, Alwar",Rajasthan State Pollution Control Board,Industrial Area,12,22,131,NA
219,15-03-2013,Rajasthan,Alwar,"RIICO Pump House,  MIA, Alwar",Rajasthan State Pollution Control Board,Industrial Area,12,23,450,NA
219,19-03-2013,Rajasthan,Alwar,"RIICO Pump House,  MIA, Alwar",Rajasthan State Pollution Control Board,Industrial Area,12,22,336,NA
219,22-03-2013,Rajasthan,Alwar,"RIICO Pump House,  MIA, Alwar",Rajasthan State Pollution Control Board,Industrial Area,10,21,251,NA
219,26-03-2013,Rajasthan,Alwar,"RIICO Pump House,  MIA, Alwar",Rajasthan State Pollution Control Board,Industrial Area,9,22,322,NA
219,29-03-2013,Rajasthan,Alwar,"RIICO Pump House,  MIA, Alwar",Rajasthan State Pollution Control Board,Industrial Area,8,20,558,NA
219,04-02-2013,Rajasthan,Alwar,"RIICO Pump House,  MIA, Alwar",Rajasthan State Pollution Control Board,Industrial Area,10,22,559,NA
219,04-05-2013,Rajasthan,Alwar,"RIICO Pump House,  MIA, Alwar",Rajasthan State Pollution Control Board,Industrial Area,11,20,245,NA
219,04-09-2013,Rajasthan,Alwar,"RIICO Pump House,  MIA, Alwar",Rajasthan State Pollution Control Board,Industrial Area,9,21,406,NA
219,04-12-2013,Rajasthan,Alwar,"RIICO Pump House,  MIA, Alwar",Rajasthan State Pollution Control Board,Industrial Area,10,20,161,NA
219,16-04-2013,Rajasthan,Alwar,"RIICO Pump House,  MIA, Alwar",Rajasthan State Pollution Control Board,Industrial Area,11,19,542,NA
219,19-04-2013,Rajasthan,Alwar,"RIICO Pump House,  MIA, Alwar",Rajasthan State Pollution Control Board,Industrial Area,10,20,571,NA
219,23-04-2013,Rajasthan,Alwar,"RIICO Pump House,  MIA, Alwar",Rajasthan State Pollution Control Board,Industrial Area,10,21,307,NA
